model,method,function_name,actual_success_rate,total_runs
gemini_2_5_flash,GA_ADAPTIVE,bmi_category,100.0,150
gemini_2_5_flash,GA_ADAPTIVE,list_pattern,100.0,150
gemini_2_5_flash,GA_ADAPTIVE,number_kind,100.0,90
gemini_2_5_flash,GA_ADAPTIVE,password_strength,96.66666666666667,120
gemini_2_5_flash,GA_ADAPTIVE,pin_pattern,80.83333333333333,120
gemini_2_5_flash,GA_ADAPTIVE,shipping_discount,80.0,150
gemini_2_5_flash,GA_ADAPTIVE,sign_type,100.0,90
gemini_2_5_flash,GA_ADAPTIVE,string_category,81.33333333333333,150
gemini_2_5_flash,GA_ADAPTIVE,transaction_pattern,98.88888888888889,180
gemini_2_5_flash,GA_ADAPTIVE,triangle_type,99.33333333333333,150
gemini_2_5_flash,GA_ADAPTIVE,username_category,83.33333333333334,180
gemini_2_5_flash,GA_FIXED,bmi_category,100.0,150
gemini_2_5_flash,GA_FIXED,list_pattern,100.0,150
gemini_2_5_flash,GA_FIXED,number_kind,100.0,90
gemini_2_5_flash,GA_FIXED,password_strength,93.33333333333333,120
gemini_2_5_flash,GA_FIXED,pin_pattern,99.16666666666667,120
gemini_2_5_flash,GA_FIXED,shipping_discount,80.0,150
gemini_2_5_flash,GA_FIXED,sign_type,100.0,90
gemini_2_5_flash,GA_FIXED,string_category,80.66666666666666,150
gemini_2_5_flash,GA_FIXED,transaction_pattern,100.0,180
gemini_2_5_flash,GA_FIXED,triangle_type,100.0,150
gemini_2_5_flash,GA_FIXED,username_category,83.33333333333334,180
gemini_2_5_flash,HILL_CLIMBING,bmi_category,100.0,150
gemini_2_5_flash,HILL_CLIMBING,list_pattern,100.0,150
gemini_2_5_flash,HILL_CLIMBING,number_kind,100.0,90
gemini_2_5_flash,HILL_CLIMBING,password_strength,100.0,120
gemini_2_5_flash,HILL_CLIMBING,pin_pattern,52.5,120
gemini_2_5_flash,HILL_CLIMBING,shipping_discount,80.0,150
gemini_2_5_flash,HILL_CLIMBING,sign_type,100.0,90
gemini_2_5_flash,HILL_CLIMBING,string_category,86.66666666666667,150
gemini_2_5_flash,HILL_CLIMBING,transaction_pattern,100.0,180
gemini_2_5_flash,HILL_CLIMBING,triangle_type,99.33333333333333,150
gemini_2_5_flash,HILL_CLIMBING,username_category,83.33333333333334,180
gemini_2_5_flash,RANDOM,bmi_category,50.66666666666667,150
gemini_2_5_flash,RANDOM,list_pattern,100.0,150
gemini_2_5_flash,RANDOM,number_kind,81.11111111111111,90
gemini_2_5_flash,RANDOM,password_strength,81.66666666666667,120
gemini_2_5_flash,RANDOM,pin_pattern,25.0,120
gemini_2_5_flash,RANDOM,shipping_discount,80.0,150
gemini_2_5_flash,RANDOM,sign_type,73.33333333333333,90
gemini_2_5_flash,RANDOM,string_category,80.0,150
gemini_2_5_flash,RANDOM,transaction_pattern,83.88888888888889,180
gemini_2_5_flash,RANDOM,triangle_type,78.0,150
gemini_2_5_flash,RANDOM,username_category,83.33333333333334,180
