method,function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,invalid_height,0.0,0.0,0.0,1000.0,1000.0,0.00071111524011934,0.0007057085167616001,3.0717017030476197,30
RANDOM,pin_pattern,all_same,0.0,0.0,0.0,1000.0,1000.0,0.0014339625408562068,0.00145522906677795,290.1,30
RANDOM,pin_pattern,ordered_sum_20,0.0,0.0,0.0,1000.0,1000.0,0.00165687366000682,0.0016567079583182,356.03333333333336,30
RANDOM,pin_pattern,secret_pin,0.0,0.0,0.0,1000.0,1000.0,0.00142762912437314,0.001426332979463,632.4333333333333,30
HILL_CLIMBING,pin_pattern,secret_pin,0.0,0.0,2344.9333333333334,8093.433333333333,8093.5,0.016335091565269924,0.016348749981261748,3.466666666666667,30
RANDOM,shipping_discount,invalid,0.0,0.0,0.0,1000.0,1000.0,0.00172852363903071,0.0017248329822905,1.1314001991992086,30
HILL_CLIMBING,shipping_discount,invalid,0.0,0.0,60.733333333333334,8091.0,8091.0,0.01889636669075112,0.018895374960265998,1.0,30
GA_FIXED,shipping_discount,invalid,0.0,0.0,4.3,8080.0,8080.0,0.04596006947491934,0.0459292290033772,1.0,30
GA_ADAPTIVE,shipping_discount,invalid,0.0,0.0,4.3,8080.0,8080.0,0.0531661694675373,0.0489156460389494,1.0,30
RANDOM,string_category,long_palindrome,0.0,0.0,0.0,1000.0,1000.0,0.0020775319193489334,0.002078374964185,1.0,30
RANDOM,triangle_type,equilateral,0.0,0.0,0.0,1000.0,1000.0,0.0026821431315814004,0.00268618698464705,17.766666666666666,30
RANDOM,username_category,strong_username,0.0,0.0,0.0,1000.0,1000.0,0.0030292763064304535,0.0030248954426497,1.0,30
HILL_CLIMBING,username_category,strong_username,0.0,0.0,12.8,8082.0,8082.0,0.023363865275556797,0.02331481198780235,1.0,30
GA_FIXED,username_category,strong_username,0.0,0.0,0.0,8080.0,8080.0,0.045756017979389635,0.043417125009000246,1.0,30
GA_ADAPTIVE,username_category,strong_username,0.0,0.0,0.0,8080.0,8080.0,0.04498651242271681,0.0449838959611952,1.0,30
GA_FIXED,string_category,long_palindrome,3.3333333333333335,3.3333333333333335,0.8,7877.333333333333,8080.0,0.03254053753335025,0.033410374948289204,0.9666666666666667,30
RANDOM,transaction_pattern,many_large_deposits,3.3333333333333335,3.3333333333333335,0.0,978.1,1000.0,0.0021566388546488667,0.00221364549361165,13.666666666666666,30
GA_ADAPTIVE,string_category,long_palindrome,6.666666666666667,6.666666666666667,3.933333333333333,7861.333333333333,8080.0,0.034890800062566944,0.035816354502458056,0.9333333333333333,30
HILL_CLIMBING,pin_pattern,all_same,10.0,10.0,2967.5333333333333,7416.533333333334,8093.0,0.014814170872947776,0.016178020508959848,1.7333333333333334,30
RANDOM,sign_type,zero,20.0,20.0,0.0,907.1,1000.0,0.00047681950964029,0.0005070000188425,2.0,30
RANDOM,bmi_category,overweight,26.666666666666668,26.666666666666668,0.0,898.0666666666667,1000.0,0.0006654249465402967,0.0007231250638142,6.272945559235163,30
RANDOM,password_strength,weak_no_digit_upper,26.666666666666668,26.666666666666668,0.0,862.5333333333333,1000.0,0.00226194573333482,0.00261754152597855,0.7333333333333333,30
HILL_CLIMBING,string_category,long_palindrome,33.33333333333333,33.33333333333333,1286.8333333333333,6673.3,8081.0,0.011793354126469492,0.01421939599094905,0.6666666666666666,30
RANDOM,bmi_category,normal,43.333333333333336,43.333333333333336,0.0,743.5666666666667,1000.0,0.000558688770979602,0.0007259790436363999,2.827439457172798,30
RANDOM,number_kind,zero,43.333333333333336,43.333333333333336,0.0,781.4333333333333,1000.0,0.00045480253562947326,0.0005565829342231,1.1666666666666667,30
GA_ADAPTIVE,pin_pattern,all_same,50.0,50.0,40.1,5712.0,6480.0,0.03221296517100801,0.0354158534901216,0.5333333333333333,30
GA_FIXED,password_strength,weak_no_digit_upper,73.33333333333333,73.33333333333333,19.333333333333332,3760.0,2360.0,0.016990370831141816,0.01045395847177125,0.26666666666666666,30
GA_ADAPTIVE,pin_pattern,secret_pin,73.33333333333333,73.33333333333333,43.06666666666667,4816.0,3920.0,0.02707562360058844,0.02131670847302295,0.4666666666666667,30
RANDOM,bmi_category,obese,83.33333333333334,83.33333333333334,0.0,426.5,371.5,0.0002982068651665794,0.00025974994059645,2.8905007804130425,30
GA_ADAPTIVE,password_strength,weak_no_digit_upper,86.66666666666667,86.66666666666667,23.166666666666668,3000.0,2360.0,0.014381326346968563,0.01096620905445885,0.13333333333333333,30
RANDOM,triangle_type,isosceles,93.33333333333333,93.33333333333333,0.0,434.46666666666664,342.5,0.0013879152790953226,0.0010957085178233,0.06666666666666667,30
GA_FIXED,pin_pattern,all_same,96.66666666666667,96.66666666666667,44.5,3733.3333333333335,3520.0,0.019963530567474613,0.018852395995054352,0.03333333333333333,30
HILL_CLIMBING,triangle_type,equilateral,96.66666666666667,96.66666666666667,2020.5,2264.0333333333333,1434.0,0.0069637958387222835,0.004471521009691,0.03333333333333333,30
GA_ADAPTIVE,triangle_type,equilateral,96.66666666666667,96.66666666666667,16.9,1666.6666666666667,1400.0,0.010697198709628182,0.0088860205723904,0.03333333333333333,30
RANDOM,triangle_type,invalid_side,96.66666666666667,96.66666666666667,0.0,338.3,286.5,0.000602647095608172,0.0004971669986843499,0.06666666666666667,30
