model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,0,True,True,"[641.7039923696487, 0.0]",0.0,invalid_height,37,3040,0.015109124942682683
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,1,True,True,"[2041.08551734808, 0.0]",0.0,invalid_height,25,2080,0.009485832997597754
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,2,True,True,"[1981.3947909308445, 0.0]",0.0,invalid_height,30,2480,0.010973999975249171
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,3,True,True,"[867.0154052306472, 0.0]",0.0,invalid_height,11,960,0.004026958020403981
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,4,True,True,"[119.02466645692827, 0.0]",0.0,invalid_height,24,2000,0.008739665965549648
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,5,True,True,"[2090.258010897024, 0.0]",0.0,invalid_height,61,4960,0.022162667009979486
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,6,True,True,"[1080.4447095434994, 0.0]",0.0,invalid_height,22,1840,0.007711749989539385
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,7,True,True,"[2346.806377936343, 0.0]",0.0,invalid_height,18,1520,0.0062871669651940465
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,8,True,True,"[128.68659435712738, 0.0]",0.0,invalid_height,35,2880,0.012709709000773728
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,9,True,True,"[1321.446114871946, 0.0]",0.0,invalid_height,2,240,0.0007965000113472342
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,10,True,True,"[2456.3510999277073, 0.0]",0.0,invalid_height,6,560,0.0022397919092327356
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,11,True,True,"[2449.9706704442524, 0.0]",0.0,invalid_height,14,1200,0.005187458009459078
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,12,True,True,"[678.2029603972871, 0.0]",0.0,invalid_height,12,1040,0.004445667029358447
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,13,True,True,"[2022.9985950392092, 0.0]",0.0,invalid_height,40,3280,0.014570457977242768
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,14,True,True,"[1783.035418253532, 0.0]",0.0,invalid_height,3,320,0.0011662909528240561
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,15,True,True,"[485.3247069551394, 0.0]",0.0,invalid_height,10,880,0.00368533399887383
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,16,True,True,"[771.0993358175532, 0.0]",0.0,invalid_height,37,3040,0.013518499908968806
gemini_2_5_flash,GA_FIXED,bmi_category,invalid_height,17,True,True,"[2391.264458339637, 0.0]",0.0,invalid_height,26,2160,0.009342083940282464
