model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,0,True,True,"[2421.314415658075, 0.0]",0.0,invalid_height,110,111,0.0002952920040115714
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,1,True,True,"[1382.963568674873, 0.0]",0.0,invalid_height,555,556,0.0009557920275256038
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,2,True,True,"[232.39533027696012, 0.0]",0.0,invalid_height,456,457,0.0007417919114232063
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,3,True,True,"[2508.797339444712, 0.0]",0.0,invalid_height,227,228,0.00039041705895215273
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,4,True,True,"[1375.202773194734, 0.0]",0.0,invalid_height,293,294,0.00048216700088232756
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,5,True,True,"[11.130467905116303, 0.0]",0.0,invalid_height,184,185,0.000374582945369184
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,6,True,True,"[2574.5366419085294, 0.0]",0.0,invalid_height,205,206,0.00042741699144244194
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,7,True,True,"[2468.1588985674102, 0.0]",0.0,invalid_height,371,372,0.000750000006519258
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,8,True,True,"[371.5630935464205, 0.0]",0.0,invalid_height,228,229,0.00047733401879668236
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,9,True,True,"[472.3270672459111, 0.0]",0.0,invalid_height,376,377,0.000750000006519258
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,10,True,True,"[56.97291821955852, 0.0]",0.0,invalid_height,259,260,0.0005065830191597342
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,11,True,True,"[2018.7082579469227, 0.0]",0.0,invalid_height,338,339,0.0006791249616071582
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,12,True,True,"[1041.770257775222, 0.0]",0.0,invalid_height,308,309,0.000622540945187211
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,13,True,True,"[993.7541410386106, 0.0]",0.0,invalid_height,154,155,0.0003405830357223749
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,14,True,True,"[341.53390144374475, 0.0]",0.0,invalid_height,164,165,0.0003357080277055502
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,15,True,True,"[1801.9264059609525, 0.0]",0.0,invalid_height,269,270,0.0005567499902099371
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,16,True,True,"[2314.007603438625, 0.0]",0.0,invalid_height,248,249,0.0004712499212473631
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,17,True,True,"[2385.3731393074445, 0.0]",0.0,invalid_height,356,357,0.000657416065223515
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,18,True,True,"[2219.363737522354, 0.0]",0.0,invalid_height,172,173,0.00033604202326387167
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,19,True,True,"[2626.2667541101105, 0.0]",0.0,invalid_height,218,219,0.0004356659483164549
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,20,True,True,"[1911.1232043631521, 0.0]",0.0,invalid_height,403,404,0.000800540903583169
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,21,True,True,"[1901.5441556014769, 0.0]",0.0,invalid_height,529,530,0.0010042920475825667
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,22,True,True,"[1820.4756052191144, 0.0]",0.0,invalid_height,342,343,0.0006825419841334224
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,23,True,True,"[88.38599091747906, 0.0]",0.0,invalid_height,81,82,0.00015795801300555468
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,24,True,True,"[1881.3045316289795, 0.0]",0.0,invalid_height,121,122,0.00023637502454221249
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,25,True,True,"[1768.1091429755775, 0.0]",0.0,invalid_height,232,233,0.00045470893383026123
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,26,True,True,"[647.8674288609018, 0.0]",0.0,invalid_height,158,159,0.0003126249648630619
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,27,True,True,"[2287.0201307568673, 0.0]",0.0,invalid_height,108,109,0.0001985830022022128
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,28,True,True,"[1312.5397517562799, 0.0]",0.0,invalid_height,234,235,0.00042345805559307337
gemini_2_5_flash,HILL_CLIMBING,bmi_category,invalid_height,29,True,True,"[2344.437928482711, 0.0]",0.0,invalid_height,152,153,0.0002785830292850733
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,0,True,True,"[1467.6298205249675, 2458.819968318202]",0.0,underweight,0,1,3.6660348996520042e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,1,True,True,"[2351.691122605778, 1264.8630299573697]",0.0,underweight,0,1,3.2079406082630157e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,2,True,True,"[1345.499127210288, 1711.0674826424508]",0.0,underweight,0,1,3.1249364838004112e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,3,True,True,"[1282.2576769849318, 2999.996178914648]",0.0,underweight,0,1,3.125052899122238e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,4,True,True,"[334.99261129729473, 1479.055136970107]",0.0,underweight,0,1,2.9999064281582832e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,5,True,True,"[1433.901190068641, 491.6071022530388]",0.0,underweight,0,1,2.8329668566584587e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,6,True,True,"[2929.4889273927843, 155.04919525281136]",0.0,underweight,0,1,2.7919886633753777e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,7,True,True,"[617.1863340079906, 1327.1588789344378]",0.0,underweight,0,1,3.2499665394425392e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,8,True,True,"[1132.6323220774627, 1385.686255956366]",0.0,underweight,0,1,2.9170187190175056e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,9,True,True,"[2437.939773957212, 2367.4791730857924]",0.0,underweight,0,1,4.541012458503246e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,10,True,True,"[2453.2618778780848, 272.17149301361786]",0.0,underweight,0,1,2.9170187190175056e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,11,True,True,"[1582.3364268150326, 78.45196345315408]",0.0,underweight,0,1,2.874992787837982e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,12,True,True,"[104.28428510607036, 1383.3779642138252]",0.0,underweight,0,1,2.7909409254789352e-06
gemini_2_5_flash,HILL_CLIMBING,bmi_category,underweight,13,True,True,"[111.02736951500746, 772.0003234916734]",0.0,underweight,0,1,2.9170187190175056e-06
