model,method,function_name,actual_success_rate,total_runs
llama_3_3_70b_versatile,GA_ADAPTIVE,bmi_category,78.66666666666666,150
llama_3_3_70b_versatile,GA_ADAPTIVE,number_kind,100.0,90
llama_3_3_70b_versatile,GA_ADAPTIVE,password_strength,95.83333333333334,120
llama_3_3_70b_versatile,GA_ADAPTIVE,shipping_discount,72.66666666666667,150
llama_3_3_70b_versatile,GA_ADAPTIVE,sign_type,100.0,90
llama_3_3_70b_versatile,GA_ADAPTIVE,string_category,72.0,150
llama_3_3_70b_versatile,GA_ADAPTIVE,username_category,73.88888888888889,180
llama_3_3_70b_versatile,GA_FIXED,bmi_category,74.66666666666667,150
llama_3_3_70b_versatile,GA_FIXED,number_kind,100.0,90
llama_3_3_70b_versatile,GA_FIXED,password_strength,85.83333333333333,120
llama_3_3_70b_versatile,GA_FIXED,shipping_discount,70.0,150
llama_3_3_70b_versatile,GA_FIXED,sign_type,100.0,90
llama_3_3_70b_versatile,GA_FIXED,string_category,66.0,150
llama_3_3_70b_versatile,GA_FIXED,username_category,75.55555555555556,180
llama_3_3_70b_versatile,HILL_CLIMBING,bmi_category,78.66666666666666,150
llama_3_3_70b_versatile,HILL_CLIMBING,number_kind,100.0,90
llama_3_3_70b_versatile,HILL_CLIMBING,password_strength,98.33333333333333,120
llama_3_3_70b_versatile,HILL_CLIMBING,shipping_discount,76.0,150
llama_3_3_70b_versatile,HILL_CLIMBING,sign_type,100.0,90
llama_3_3_70b_versatile,HILL_CLIMBING,string_category,81.33333333333333,150
llama_3_3_70b_versatile,HILL_CLIMBING,username_category,77.22222222222223,180
llama_3_3_70b_versatile,RANDOM,bmi_category,50.66666666666667,150
llama_3_3_70b_versatile,RANDOM,number_kind,76.66666666666667,90
llama_3_3_70b_versatile,RANDOM,password_strength,86.66666666666667,120
llama_3_3_70b_versatile,RANDOM,shipping_discount,75.33333333333333,150
llama_3_3_70b_versatile,RANDOM,sign_type,70.0,90
llama_3_3_70b_versatile,RANDOM,string_category,71.33333333333334,150
llama_3_3_70b_versatile,RANDOM,username_category,74.44444444444444,180
