model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,0,False,False,"[2825.7679716095718, 12.35899408061143]",6.29812564909571e-05,,33,8080,0.042487540980800986
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,1,False,False,"[2908.6637418940322, 10.786444575500152]",0.00017982882984313164,,28,8080,0.0380740420660004
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,2,False,False,"[2932.3431460361944, 12.589928982722975]",0.00014902926379534165,,49,8080,0.036126166000030935
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,3,False,False,"[2744.8076275004846, 12.180635498835626]",1.2308080563627755e-05,,76,8080,0.036371124908328056
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,4,False,False,"[2243.1127338948213, 11.011340589323847]",4.34246787008874e-05,,29,8080,0.03621095803100616
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,5,False,False,"[2953.5591025752997, 12.635403999090213]",0.00018433990478072815,,63,8080,0.03598058293573558
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,6,False,False,"[2963.050925778961, 9.938153331889133]",0.0004472787798768252,,20,8080,0.03615170903503895
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,7,False,False,"[2972.081690455232, 12.674995914834804]",0.0002829420633752022,,83,8080,0.03621495794504881
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,8,False,False,"[2517.7411343768813, 10.035447927939202]",0.0001414303661562144,,52,8080,0.036414416041225195
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,9,False,False,"[2954.1561412765063, 12.636720744318897]",0.00030068479889777677,,63,8080,0.0360331250121817
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,10,False,False,"[2981.726938762955, 12.69102203433371]",0.012909271821179402,,100,8080,0.036096250056289136
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,11,False,False,"[2997.887489658961, 12.729806759386683]",8.810389751090497e-07,,82,8080,0.03601300006266683
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,12,False,False,"[2920.089467603483, 12.563531906990555]",3.984362676945352e-05,,41,8080,0.03654370806179941
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,13,False,False,"[2971.4097872792936, 12.673528021803675]",0.00018051696563148312,,53,8080,0.03761250001844019
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,14,False,False,"[2890.314542951362, 12.499391254043472]",0.0001850989837244299,,59,8080,0.03614662494510412
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,15,False,False,"[2884.126104042356, 12.486025178521045]",0.00025114679760207537,,46,8080,0.03622887493111193
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,16,False,False,"[2689.197337450773, 12.056680052997107]",0.00019289366964159171,,15,8080,0.03597037494182587
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,17,False,False,"[2100.7034078445554, 10.656123857749067]",0.00023462248814709596,,27,8080,0.03601825004443526
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,18,False,False,"[2894.4604624898902, 10.760052912946904]",6.913830319277281e-05,,26,8080,0.03625708306208253
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,19,False,False,"[2730.6497219356033, 12.149151838198598]",9.9929376808916e-05,,23,8080,0.03601141693070531
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,20,False,False,"[2681.0114451566433, 12.038227496469924]",7.867783171988663e-05,,42,8080,0.035998290986754
llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,21,False,False,"[2923.1951464302765, 12.567080214087973]",0.00925908952641663,,80,8080,0.03576245903968811
