method,function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,invalid_height,0.0,0.0,0.0,1000.0,1000.0,0.00073279728336875,0.0007151664467528,1.001535850351524,30
HILL_CLIMBING,bmi_category,invalid_height,0.0,0.0,4.2,8091.0,8091.0,0.0102267082741794,0.0100224579800851,1.0,30
GA_FIXED,bmi_category,invalid_height,0.0,0.0,1.0,8080.0,8080.0,0.03563604299755141,0.0356192494509741,1.0,30
GA_ADAPTIVE,bmi_category,invalid_height,0.0,0.0,1.0,8080.0,8080.0,0.03829859442776064,0.0382561875157989,1.0,30
RANDOM,pin_pattern,ordered_sum_20,0.0,0.0,0.0,1000.0,1000.0,0.0015928333741612234,0.0015874789678491001,311.1666666666667,30
RANDOM,pin_pattern,secret_pin,0.0,0.0,0.0,1000.0,1000.0,0.0015655251181063068,0.0015727085410617,631.2333333333333,30
HILL_CLIMBING,pin_pattern,secret_pin,0.0,0.0,2301.1666666666665,8093.366666666667,8093.0,0.017216718037767906,0.0172033750568516,3.466666666666667,30
RANDOM,shipping_discount,invalid,0.0,0.0,0.0,1000.0,1000.0,0.0007963790674693333,0.00079331203596665,1.0,30
HILL_CLIMBING,shipping_discount,invalid,0.0,0.0,0.0,8081.0,8081.0,0.015232268150430123,0.01522087550256395,1.0,30
GA_FIXED,shipping_discount,invalid,0.0,0.0,0.0,8080.0,8080.0,0.0385211361572146,0.0385107710026204,1.0,30
GA_ADAPTIVE,shipping_discount,invalid,0.0,0.0,0.0,8080.0,8080.0,0.04189477782929311,0.0418501255335286,1.0,30
RANDOM,sign_type,negative,0.0,0.0,0.0,1000.0,1000.0,0.00042733473237599337,0.0004269170458428,0.9336478604050883,30
RANDOM,sign_type,zero,0.0,0.0,0.0,1000.0,1000.0,0.0004455207691837833,0.00044481205986805,0.6958419078117131,30
RANDOM,number_kind,zero,43.333333333333336,43.333333333333336,0.0,781.4333333333333,1000.0,0.00043466662755231795,0.0005430000019259499,1.1666666666666667,30
RANDOM,string_category,long_palindrome,60.0,60.0,0.0,694.2,777.5,0.0013359944607751596,0.0014840415678918002,0.4,30
RANDOM,pin_pattern,all_same,63.33333333333333,63.33333333333333,0.0,631.1,725.0,0.0009354096371680065,0.00107339594978835,0.4,30
GA_FIXED,string_category,long_palindrome,63.33333333333333,63.33333333333333,14.333333333333334,4160.0,2880.0,0.016857254175314026,0.01156047906260935,0.36666666666666664,30
GA_ADAPTIVE,pin_pattern,secret_pin,70.0,70.0,43.7,5008.0,4000.0,0.029677193103513324,0.023916854057461003,0.3,30
GA_ADAPTIVE,string_category,long_palindrome,83.33333333333334,83.33333333333334,27.833333333333332,3640.0,2720.0,0.015302152722142586,0.0112737494637258,0.16666666666666666,30
RANDOM,list_pattern,sorted_with_duplicates,96.66666666666667,96.66666666666667,0.0,402.76666666666665,311.0,0.0006612847753179102,0.0005031874752603001,0.03333333333333333,30
GA_FIXED,list_pattern,sorted_with_duplicates,96.66666666666667,96.66666666666667,23.5,2226.6666666666665,1800.0,0.011497680602284724,0.0090137920342385,0.03333333333333333,30
GA_FIXED,pin_pattern,ordered_sum_20,96.66666666666667,96.66666666666667,19.566666666666666,1653.3333333333333,1280.0,0.008860348595771884,0.006790708459448,0.03333333333333333,30
