model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,0,False,False,"[79.58176769343267, 1.0041995443649196]",1.0041995443649196,,0,1000,0.0008457909571006894
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,1,False,False,"[144.7076303260023, 1.0039141599665573]",1.0039141599665573,,0,1000,0.0008124170126393437
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,2,False,False,"[156.58589078274176, 1.00071302717839]",1.00071302717839,,0,1000,0.0008030839962884784
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,3,False,False,"[34.36093606357025, 1.0007442884505227]",1.0007442884505227,,0,1000,0.0008222500327974558
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,4,False,False,"[184.44705696976334, 1.0003447841834425]",1.0003447841834425,,0,1000,0.0008083750726655126
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,5,False,False,"[174.74581180105736, 1.0019083486173557]",1.0019083486173557,,0,1000,0.0008286249358206987
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,6,False,False,"[46.36357704537072, 1.0004370940640361]",1.0004370940640361,,0,1000,0.0007763749454170465
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,7,False,False,"[53.091022054208516, 1.0001379333795124]",1.0001379333795124,,0,1000,0.0007501669460907578
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,8,False,False,"[146.31654374740322, 1.0002318368994154]",1.0002318368994154,,0,1000,0.0007495839381590486
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,9,False,False,"[148.6632151627121, 1.0033134189374755]",1.0033134189374755,,0,1000,0.0007518329657614231
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,10,False,False,"[68.27251464469026, 1.0004660524894544]",1.0004660524894544,,0,1000,0.0007561669917777181
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,11,False,False,"[82.28059443588107, 1.0003731208466136]",1.0003731208466136,,0,1000,0.0007529170252382755
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,12,False,False,"[124.35587104815723, 1.0006934903383122]",1.0006934903383122,,0,1000,0.0007496250327676535
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,13,False,False,"[169.10754522458163, 1.002309868873522]",1.002309868873522,,0,1000,0.0007491669384762645
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,14,False,False,"[179.98943690660926, 1.001645629451187]",1.001645629451187,,0,1000,0.0007171249017119408
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,15,False,False,"[24.02744911743868, 1.0004063397536131]",1.0004063397536131,,0,1000,0.0007132079917937517
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,16,False,False,"[173.5303849833715, 1.001553815667393]",1.001553815667393,,0,1000,0.000700291944667697
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,17,False,False,"[141.8785555143994, 1.003042831916241]",1.003042831916241,,0,1000,0.0007075000321492553
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,18,False,False,"[152.25806445037847, 1.000589034659429]",1.000589034659429,,0,1000,0.0007074999157339334
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,19,False,False,"[141.25633848965066, 1.0038003342920567]",1.0038003342920567,,0,1000,0.0007060000207275152
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,20,False,False,"[71.09265845567617, 1.0019954989467215]",1.0019954989467215,,0,1000,0.0007033749716356397
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,21,False,False,"[173.03362511189692, 1.0007648782076237]",1.0007648782076237,,0,1000,0.0007029999978840351
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,22,False,False,"[21.978187405328125, 1.0032078729703977]",1.0032078729703977,,0,1000,0.0006764170248061419
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,23,False,False,"[116.18971339229302, 1.0063396471931427]",1.0063396471931427,,0,1000,0.0006643750239163637
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,24,False,False,"[61.56761459336279, 1.000082181926602]",1.000082181926602,,0,1000,0.0006691250018775463
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,25,False,False,"[175.8979134249282, 1.0002662405771288]",1.0002662405771288,,0,1000,0.0006733749760314822
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,26,False,False,"[22.525857810604222, 1.0003209537032656]",1.0003209537032656,,0,1000,0.0006806249730288982
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,27,False,False,"[80.93316127054325, 1.0007966034671214]",1.0007966034671214,,0,1000,0.0006647499976679683
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,28,False,False,"[84.00761704739473, 1.0008337375066998]",1.0008337375066998,,0,1000,0.0006710829911753535
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,invalid_height,29,False,False,"[129.2620955708975, 1.0006429417175622]",1.0006429417175622,,0,1000,0.0006697919452562928
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,0,True,True,"[32.12171658183828, 2.052332645571712]",0.0,underweight,0,5,6.500049494206905e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,1,True,True,"[84.99216906724148, 2.190633980633674]",0.0,underweight,0,2,3.00002284348011e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,2,True,True,"[38.08356443749055, 1.9550116689795334]",0.0,underweight,0,5,5.292007699608803e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,3,True,True,"[31.005490829486188, 2.0285871221560727]",0.0,underweight,0,2,2.749962732195854e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,4,True,True,"[73.88917034613416, 2.491348788080327]",0.0,underweight,0,6,5.624955520033836e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,5,True,True,"[46.30564502452208, 2.3744304898267017]",0.0,underweight,0,1,2.124928869307041e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,6,True,True,"[28.87399642239217, 2.2631847604611925]",0.0,underweight,0,10,8.582952432334423e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,7,True,True,"[68.02832177889317, 2.225119057750305]",0.0,underweight,0,4,4.416913725435734e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,8,True,True,"[33.82336150946671, 1.4269356519487566]",0.0,underweight,0,14,1.1124997399747372e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,9,True,True,"[54.397867323193886, 1.862733315792721]",0.0,underweight,0,5,5.00003807246685e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,10,True,True,"[40.44797227454901, 1.7430008972048907]",0.0,underweight,0,1,2.00001522898674e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,11,True,True,"[21.190315184201282, 1.8613230604206101]",0.0,underweight,0,4,4.458939656615257e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,12,True,True,"[36.90072626461753, 1.7442361595295477]",0.0,underweight,0,1,1.9170111045241356e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,13,True,True,"[21.97526623425481, 1.3926499824439516]",0.0,underweight,0,1,2.00001522898674e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,14,True,True,"[64.81357645891114, 2.2329471931311478]",0.0,underweight,0,4,4.417030140757561e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,15,True,True,"[60.270818607110904, 2.0828249671694334]",0.0,underweight,0,2,2.708984538912773e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,16,True,True,"[55.62486342553817, 2.0658491256416527]",0.0,underweight,0,11,9.041978046298027e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,17,True,True,"[38.200004062608876, 1.9557675874011784]",0.0,underweight,0,6,5.500041879713535e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,18,True,True,"[21.39883869935599, 1.8630105910003578]",0.0,underweight,0,3,3.4580007195472717e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,19,True,True,"[29.365391344691815, 2.1824419294982773]",0.0,underweight,0,5,4.999921657145023e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,20,True,True,"[60.519324407595505, 1.9963538954512094]",0.0,underweight,0,2,2.7909409254789352e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,21,True,True,"[72.89582246010895, 2.334059460602374]",0.0,underweight,0,2,2.7080532163381577e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,22,True,True,"[40.50379167107546, 1.6715458108128491]",0.0,underweight,0,22,1.704192254692316e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,23,True,True,"[22.126323970867272, 1.2508961338334856]",0.0,underweight,0,4,4.292000085115433e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,24,True,True,"[21.624321709664038, 2.355506112658964]",0.0,underweight,0,1,2.0419247448444366e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,25,True,True,"[76.38810006016939, 2.1540247159413592]",0.0,underweight,0,1,2.040993422269821e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,26,True,True,"[64.69807727486273, 2.449280629156479]",0.0,underweight,0,1,2.040993422269821e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,27,True,True,"[42.14864479589899, 1.8538749222806556]",0.0,underweight,0,1,2.040993422269821e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,28,True,True,"[41.029219007495456, 1.584257763258818]",0.0,underweight,0,1,2.040993422269821e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,underweight,29,True,True,"[45.81165398542934, 2.477256166571447]",0.0,underweight,0,15,1.2125005014240742e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,0,True,True,"[84.77581957669888, 1.862240489298463]",0.0,normal,0,8,8.082948625087738e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,1,True,True,"[79.40814642653339, 1.9360038276056566]",0.0,normal,0,15,1.2874952517449856e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,2,True,True,"[108.62262262288222, 2.1007154815414486]",0.0,normal,0,10,8.416944183409214e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,3,True,True,"[91.7437576505526, 2.1692892021230668]",0.0,normal,0,3,3.7499703466892242e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,4,True,True,"[99.68396211018452, 2.0244142436448564]",0.0,normal,0,14,1.1459109373390675e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,5,True,True,"[79.54025560531635, 2.0259241095822915]",0.0,normal,0,4,4.250090569257736e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,6,True,True,"[63.535609794841676, 1.8011562606632299]",0.0,normal,0,4,4.332978278398514e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,7,True,True,"[145.56727830282216, 2.4629199256423675]",0.0,normal,0,9,7.707974873483181e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,8,True,True,"[142.82643525536218, 2.4699917999205327]",0.0,normal,0,4,4.208064638078213e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,9,True,True,"[79.58801022233652, 1.8131146941218321]",0.0,normal,0,4,4.29095234721899e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,10,True,True,"[57.25311449709091, 1.5729654213542625]",0.0,normal,0,9,8.00006091594696e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,11,True,True,"[109.38927729535068, 2.290748463358142]",0.0,normal,0,5,4.958012141287327e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,12,True,True,"[56.3085972987388, 1.5348717493792357]",0.0,normal,0,2,2.666027285158634e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,13,True,True,"[74.0703481713532, 1.7966438538557525]",0.0,normal,0,1,2.084067091345787e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,14,True,True,"[123.65762736854572, 2.447029072815849]",0.0,normal,0,6,5.707959644496441e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,15,True,True,"[104.66474860105116, 2.0801027042530142]",0.0,normal,0,10,8.666072972118855e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,16,True,True,"[89.92257075914988, 1.921980678385902]",0.0,normal,0,7,6.332993507385254e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,17,True,True,"[105.19473081705195, 2.3484859221289973]",0.0,normal,0,11,9.459094144403934e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,18,True,True,"[124.79559948132724, 2.2952092119937073]",0.0,normal,0,25,2.037500962615013e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,19,True,True,"[87.5304687374683, 2.0502509368829935]",0.0,normal,0,4,4.041008651256561e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,20,True,True,"[114.6917602139921, 2.295461197391138]",0.0,normal,0,2,2.7080532163381577e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,21,True,True,"[122.69210378964817, 2.26482033172386]",0.0,normal,0,11,8.874922059476376e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,22,True,True,"[65.12019832179041, 1.863170005113765]",0.0,normal,0,11,8.666887879371643e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,23,True,True,"[110.03829901774391, 2.212567273982436]",0.0,normal,0,20,1.4915945939719677e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,24,True,True,"[94.0646499626927, 2.1155900108488126]",0.0,normal,0,7,6.00004568696022e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,25,True,True,"[92.68275447282083, 1.9907231820828226]",0.0,normal,0,4,4.041939973831177e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,26,True,True,"[103.9250283260566, 2.1357733513691883]",0.0,normal,0,5,4.708999767899513e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,27,True,True,"[25.432146695557556, 1.1272284941376502]",0.0,normal,0,10,8.208910003304482e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,28,True,True,"[86.07462110326588, 2.0920547614085]",0.0,normal,0,26,1.8457998521625996e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,normal,29,True,True,"[99.88229658024552, 2.0533779355402846]",0.0,normal,0,1,1.875101588666439e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,0,True,True,"[71.48443453605769, 1.5694680584437983]",0.0,overweight,0,6,5.833106115460396e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,1,True,True,"[76.95863040502044, 1.712600595429056]",0.0,overweight,0,14,1.1208932846784592e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,2,True,True,"[77.09480396588233, 1.6730824461964693]",0.0,overweight,0,7,6.207963451743126e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,3,True,True,"[91.82397749549459, 1.8647665955370574]",0.0,overweight,0,2,2.625049091875553e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,4,True,True,"[135.94112365987854, 2.2489206178371446]",0.0,overweight,0,20,1.5542027540504932e-05
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,5,True,True,"[50.36925273068593, 1.3473864864977536]",0.0,overweight,0,10,8.29098280519247e-06
meta_llama_llama_4_scout_17b_16e_instruct,RANDOM,bmi_category,overweight,6,True,True,"[52.742978569611815, 1.3708563588655234]",0.0,overweight,0,9,7.583992555737495e-06
