method,function_name,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,80.0,80.0,0.0,205.02666666666667,6.0,0.00015118724666534733,5.666457582265139e-06,0.20030717007030477,150
RANDOM,list_pattern,99.33333333333333,99.33333333333333,0.0,94.37333333333333,8.0,0.00015643532232690626,1.7395417671650648e-05,0.006666666666666667,150
RANDOM,number_kind,81.11111111111111,81.11111111111111,0.0,261.76666666666665,2.0,0.00014660093260720618,2.79152300208807e-06,0.3888888888888889,90
RANDOM,pin_pattern,40.833333333333336,40.833333333333336,0.0,658.025,1000.0,0.0010244874991864232,0.0014892080216668,235.7,120
RANDOM,shipping_discount,80.0,80.0,0.0,210.78666666666666,10.0,0.00017239024940256094,1.3125012628734112e-05,0.2,150
RANDOM,sign_type,33.33333333333333,33.33333333333333,0.0,667.0,1000.0,0.00029146254657661007,0.0004269170458428,0.5431632560722671,90
RANDOM,string_category,92.0,92.0,0.0,144.8,6.0,0.0002801853123431304,1.3895973097532988e-05,0.08,150
HILL_CLIMBING,bmi_category,80.0,80.0,4.546666666666667,1622.7066666666667,5.0,0.0020543063680330815,1.2062489986419678e-05,0.2,150
HILL_CLIMBING,list_pattern,100.0,100.0,190.82,191.82,18.0,0.0004552219194980757,4.862499190494418e-05,0.0,150
HILL_CLIMBING,number_kind,100.0,100.0,28.0,29.0,2.0,3.488613680625234e-05,4.416971933096647e-06,0.0,90
HILL_CLIMBING,pin_pattern,75.0,75.0,834.2166666666667,2283.175,365.0,0.004866184783168099,0.00082295847823835,0.8666666666666667,120
HILL_CLIMBING,shipping_discount,80.0,80.0,18.786666666666665,1635.7866666666666,17.0,0.00309134749618047,4.414544673636556e-05,0.2,150
HILL_CLIMBING,sign_type,100.0,100.0,114.97777777777777,115.97777777777777,106.5,0.00012910095716099504,0.0001235210220329,0.0,90
HILL_CLIMBING,string_category,100.0,100.0,361.67333333333335,362.67333333333335,30.0,0.0005909436227132699,5.5708514992147684e-05,0.0,150
GA_FIXED,bmi_category,80.0,80.0,0.2,1680.0,80.0,0.007172124957821011,5.6124990805983543e-05,0.2,150
GA_FIXED,list_pattern,99.33333333333333,99.33333333333333,4.78,515.7333333333333,80.0,0.0024357049368942283,0.0001289165229536,0.006666666666666667,150
GA_FIXED,number_kind,100.0,100.0,2.811111111111111,304.8888888888889,80.0,0.0009067920864456054,4.775007255375385e-05,0.0,90
GA_FIXED,pin_pattern,99.16666666666667,99.16666666666667,17.6,1490.0,640.0,0.007956726048723745,0.003239604528062,0.008333333333333333,120
GA_FIXED,shipping_discount,80.0,80.0,0.02666666666666667,1682.1333333333334,80.0,0.007782688057050098,8.712499402463436e-05,0.2,150
GA_FIXED,sign_type,100.0,100.0,10.5,920.0,720.0,0.0032137971746528,0.0024758329964242503,0.0,90
GA_FIXED,string_category,92.66666666666666,92.66666666666666,2.8666666666666667,896.0,80.0,0.0034924964156622207,0.00015247950796035,0.07333333333333333,150
GA_ADAPTIVE,bmi_category,80.0,80.0,0.2,1680.0,80.0,0.0077054238792819175,5.616701673716307e-05,0.2,150
GA_ADAPTIVE,list_pattern,100.0,100.0,3.1066666666666665,328.53333333333336,80.0,0.001498607241858984,0.0001297289854846,0.0,150
GA_ADAPTIVE,number_kind,100.0,100.0,2.3555555555555556,268.44444444444446,80.0,0.0007701157230055845,5.327101098373532e-05,0.0,90
GA_ADAPTIVE,pin_pattern,92.5,92.5,15.916666666666666,1711.3333333333333,880.0,0.009835882644013765,0.0046619789791293,0.075,120
GA_ADAPTIVE,shipping_discount,80.0,80.0,0.02,1681.6,80.0,0.008459322177804996,8.672900730744004e-05,0.2,150
GA_ADAPTIVE,sign_type,100.0,100.0,10.633333333333333,930.6666666666666,640.0,0.0032586180488578674,0.00218972947914145,0.0,90
GA_ADAPTIVE,string_category,96.66666666666667,96.66666666666667,5.566666666666666,792.0,80.0,0.003181891092875301,0.00015295797493305,0.03333333333333333,150
