model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,0,True,True,"[641.7039923696487, 0.0]",0.0,invalid_height,37,3040,0.01678504201117903
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,1,True,True,"[2041.08551734808, 0.0]",0.0,invalid_height,25,2080,0.010193166905082762
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,2,True,True,"[1981.3947909308445, 0.0]",0.0,invalid_height,30,2480,0.01135950000025332
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,3,True,True,"[867.0154052306472, 0.0]",0.0,invalid_height,11,960,0.004030957934446633
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,4,True,True,"[119.02466645692827, 0.0]",0.0,invalid_height,24,2000,0.008792540989816189
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,5,True,True,"[2090.258010897024, 0.0]",0.0,invalid_height,61,4960,0.021956457989290357
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,6,True,True,"[1080.4447095434994, 0.0]",0.0,invalid_height,22,1840,0.007864167098887265
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,7,True,True,"[2346.806377936343, 0.0]",0.0,invalid_height,18,1520,0.006684166961349547
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,8,True,True,"[128.68659435712738, 0.0]",0.0,invalid_height,35,2880,0.012635541963391006
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,9,True,True,"[1321.446114871946, 0.0]",0.0,invalid_height,2,240,0.000781542039476335
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,10,True,True,"[2456.3510999277073, 0.0]",0.0,invalid_height,6,560,0.00220829201862216
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,11,True,True,"[2449.9706704442524, 0.0]",0.0,invalid_height,14,1200,0.0051307500107213855
no_semantic_llama_3_3_70b_versatile,GA_FIXED,bmi_category,invalid_height,12,True,True,"[678.2029603972871, 0.0]",0.0,invalid_height,12,1040,0.004299457999877632
