model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,0,False,False,"[993.0294615572111, 8.399088729839077]",8.399088729839077,,0,1000,0.000789540936239
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,1,False,False,"[2078.4605054333715, 7.828319933114725]",7.828319933114725,,0,1000,0.0007698750123381
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,2,False,False,"[2276.431513045696, 1.4260543567798933]",1.4260543567798931,,0,1000,0.0007610000902786
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,3,False,False,"[239.34893439283744, 1.488576901045091]",1.488576901045091,,0,1000,0.0007719580316916
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,4,False,False,"[2740.7842828293888, 0.6895683668849406]",0.6895683668849406,,0,1000,0.0007761659799143
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,5,False,False,"[2579.096863350956, 3.8166972347111194]",3.816697234711119,,0,1000,0.0007591670146211
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,6,False,False,"[439.39295075617855, 0.874188128072384]",0.874188128072384,,0,1000,0.0007477910257875
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,7,False,False,"[551.5170342368086, 0.27586675902468993]",0.2758667590246899,,0,1000,0.0007089170394465
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,8,False,False,"[2105.275729123387, 0.4636737988308326]",0.4636737988308326,,0,1000,0.0007097920170053
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,9,False,False,"[2144.386919378535, 6.626837874950997]",6.626837874950997,,0,1000,0.000711791915819
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,10,False,False,"[804.5419107448377, 0.93210497890861]",0.93210497890861,,0,1000,0.0007089170394465
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,11,False,False,"[1038.0099072646847, 0.7462416932271232]",0.7462416932271232,,0,1000,0.0007047080434858
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,12,False,False,"[1739.264517469287, 1.3869806766244608]",1.3869806766244608,,0,1000,0.0007219159742817
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,13,False,False,"[2485.125753743027, 4.619737747043939]",4.619737747043939,,0,1000,0.0007167500443756
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,14,False,False,"[2666.490615110154, 3.29125890237425]",3.29125890237425,,0,1000,0.0007151250028982
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,15,False,False,"[67.12415195731137, 0.8126795072264104]",0.8126795072264104,,0,1000,0.0006761670811101
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,16,False,False,"[2558.8397497228584, 3.1076313347864204]",3.1076313347864204,,0,1000,0.0006724169943481
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,17,False,False,"[2031.3092585733234, 6.08566383248188]",6.08566383248188,,0,1000,0.0006637090118601
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,18,False,False,"[2204.3010741729745, 1.1780693188581104]",1.1780693188581104,,0,1000,0.0006644170498475
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,19,False,False,"[2020.938974827511, 7.600668584113235]",7.600668584113235,,0,1000,0.0006656249752268
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,20,False,False,"[851.5443075946027, 3.990997893443038]",3.990997893443038,,0,1000,0.0006679170764982
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,21,False,False,"[2550.5604185316156, 1.5297564152476628]",1.5297564152476628,,0,1000,0.000668124994263
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,22,False,False,"[32.96979008880208, 6.415745940795525]",6.415745940795525,,0,1000,0.0006628750124946
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,23,False,False,"[1603.1618898715503, 12.679294386285678]",12.679294386285678,,0,1000,0.0006654580356553
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,24,False,False,"[692.7935765560466, 0.16436385320384161]",0.1643638532038416,,0,1000,0.0006322499830275
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,25,False,False,"[2598.2985570821365, 0.5324811542575247]",0.5324811542575247,,0,1000,0.000639333971776
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,26,False,False,"[42.09763017673707, 0.6419074065309172]",0.6419074065309172,,0,1000,0.0006357920356094
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,27,False,False,"[1015.5526878423874, 1.5932069342425859]",1.593206934242586,,0,1000,0.0006432499503716
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,28,False,False,"[1066.7936174565789, 1.6674750133994776]",1.6674750133994776,,0,1000,0.0006493749096989
openai_gpt_oss_120b,RANDOM,bmi_category,invalid_height,29,False,False,"[1821.0349261816248, 1.2858834351241466]",1.2858834351241466,,0,1000,0.0006336249643936
openai_gpt_oss_120b,RANDOM,bmi_category,normal,0,True,True,"[1446.6184274628558, 8.18747566615341]",0.0,normal,0,415,0.0003313330234959
openai_gpt_oss_120b,RANDOM,bmi_category,normal,1,True,True,"[710.850300145578, 5.659481952125511]",0.0,normal,0,923,0.0007336670532822
