method,function_name,target,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,invalid_height,0.0,0.0,0.0,1000.0,1000.0,0.0006971250404603167,0.00069043756229795,3.0717007030476196,30
RANDOM,pin_pattern,all_same,0.0,0.0,0.0,1000.0,1000.0,0.00193721508840094,0.0019349795184098,157.5,30
RANDOM,pin_pattern,ordered_sum_20,0.0,0.0,0.0,1000.0,1000.0,0.00194251252493505,0.0019375414703972,356.03333333333336,30
RANDOM,pin_pattern,secret_pin,0.0,0.0,0.0,1000.0,1000.0,0.0019365666705804068,0.0019281040877102999,632.4333333333333,30
HILL_CLIMBING,pin_pattern,secret_pin,0.0,0.0,2344.9333333333334,8093.433333333333,8093.5,0.02000510282426447,0.020021832955535453,3.466666666666667,30
RANDOM,username_category,strong_username,0.0,0.0,0.0,1000.0,1000.0,0.0026070013681115697,0.0026047079591080503,1.0,30
HILL_CLIMBING,username_category,strong_username,0.0,0.0,13.433333333333334,8082.0,8082.0,0.01992342218679061,0.019892124517355052,1.0,30
GA_FIXED,username_category,strong_username,0.0,0.0,0.0,8080.0,8080.0,0.039579304280535584,0.03939110448118295,1.0,30
GA_ADAPTIVE,username_category,strong_username,0.0,0.0,0.0,8080.0,8080.0,0.041441070757961475,0.041429832985158996,1.0,30
RANDOM,string_category,long_palindrome,6.666666666666667,6.666666666666667,0.0,956.4,1000.0,0.0017807125657175432,0.00184154196176675,0.9333333333333333,30
HILL_CLIMBING,pin_pattern,all_same,13.333333333333334,13.333333333333334,2598.4,7650.7,8093.0,0.0187839013524353,0.019852041965350453,1.2666666666666666,30
GA_FIXED,string_category,long_palindrome,16.666666666666664,16.666666666666664,8.466666666666667,7424.0,8080.0,0.028977734727474495,0.0313355625257827,0.8333333333333334,30
GA_ADAPTIVE,string_category,long_palindrome,16.666666666666664,16.666666666666664,8.2,7402.666666666667,8080.0,0.031014552813333717,0.03384868748253205,0.8333333333333334,30
HILL_CLIMBING,string_category,long_palindrome,20.0,20.0,317.8,6782.633333333333,8081.0,0.010527687434417456,0.0123055414878763,0.8,30
RANDOM,bmi_category,overweight,26.666666666666668,26.666666666666668,0.0,898.0666666666667,1000.0,0.0006109179773677889,0.0006771460175513499,6.2729448259018294,30
GA_ADAPTIVE,pin_pattern,all_same,26.666666666666668,26.666666666666668,40.96666666666667,7013.333333333333,8080.0,0.043059301279329956,0.0497190204914659,0.7666666666666667,30
RANDOM,password_strength,weak_no_digit_upper,33.33333333333333,33.33333333333333,0.0,835.9666666666667,1000.0,0.00185964734215905,0.00219668750651175,0.6666666666666666,30
RANDOM,sign_type,zero,36.666666666666664,36.666666666666664,0.0,816.5333333333333,1000.0,0.00044528750392293,0.000537208514288,1.3333333333333333,30
RANDOM,bmi_category,normal,43.333333333333336,43.333333333333336,0.0,743.5666666666667,1000.0,0.0005510305481341467,0.00071745848981655,2.827438890506131,30
RANDOM,number_kind,zero,43.333333333333336,43.333333333333336,0.0,781.4333333333333,1000.0,0.00044356260914350874,0.0005601250450126499,1.1666666666666667,30
GA_FIXED,password_strength,weak_no_digit_upper,43.333333333333336,43.333333333333336,14.1,5741.333333333333,8080.0,0.025363333368052996,0.03510814544279125,0.5666666666666667,30
GA_ADAPTIVE,password_strength,weak_no_digit_upper,66.66666666666666,66.66666666666666,27.6,4954.666666666667,5360.0,0.02283777378809944,0.02458739600842815,0.3333333333333333,30
GA_ADAPTIVE,pin_pattern,secret_pin,73.33333333333333,73.33333333333333,43.06666666666667,4816.0,3920.0,0.028725238974826983,0.02266164548927915,0.4666666666666667,30
RANDOM,bmi_category,obese,83.33333333333334,83.33333333333334,0.0,426.5,371.5,0.000276329154924769,0.00023875001352275,2.890500613746376,30
RANDOM,list_pattern,sorted_with_duplicates,86.66666666666667,86.66666666666667,0.0,436.93333333333334,354.5,0.0007188984969009532,0.000583728950005,0.13333333333333333,30
HILL_CLIMBING,password_strength,weak_no_digit_upper,96.66666666666667,96.66666666666667,2247.9,2518.0333333333333,1679.0,0.005014845837528465,0.0032402705401182,0.03333333333333333,30
