method,function_name,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,50.66666666666667,50.66666666666667,0.0,613.8266666666667,928.5,0.00042751028512911127,0.0006320209940895,3.0125170066403912,150
RANDOM,list_pattern,97.33333333333334,97.33333333333334,0.0,98.7,7.0,0.0001656410462843753,1.7271027900278568e-05,0.02666666666666667,150
RANDOM,number_kind,81.11111111111111,81.11111111111111,0.0,261.76666666666665,2.0,0.00014954866556863097,2.7919886633753777e-06,0.3888888888888889,90
RANDOM,password_strength,83.33333333333334,83.33333333333334,0.0,210.94166666666666,3.0,0.00047123614155375644,9.499955922365189e-06,0.16666666666666666,120
RANDOM,pin_pattern,25.0,25.0,0.0,750.25,1000.0,0.0014552100115300076,0.0019308750052005,286.4916666666667,120
RANDOM,sign_type,78.88888888888889,78.88888888888889,0.0,275.47777777777776,7.5,0.00015145877195106634,5.999987479299307e-06,0.4444444444444444,90
RANDOM,string_category,81.33333333333333,81.33333333333333,0.0,196.27333333333334,5.0,0.0003676888998597751,1.045851968228817e-05,0.18666666666666668,150
RANDOM,transaction_pattern,100.0,100.0,0.0,18.988888888888887,5.0,4.030581201529625e-05,1.4208490028977394e-05,0.0,180
RANDOM,username_category,83.33333333333334,83.33333333333334,0.0,173.44444444444446,6.0,0.00045472224010153573,1.7041456885635853e-05,0.16666666666666666,180
HILL_CLIMBING,bmi_category,100.0,100.0,222.62666666666667,223.62666666666667,214.5,0.00037189025587087916,0.00033958296990015005,0.0,150
HILL_CLIMBING,list_pattern,100.0,100.0,55.986666666666665,56.986666666666665,11.0,0.00012229113684344628,3.627105616033077e-05,0.0,150
HILL_CLIMBING,number_kind,100.0,100.0,28.0,29.0,2.0,3.491994381571272e-05,4.750036168843508e-06,0.0,90
HILL_CLIMBING,password_strength,99.16666666666667,99.16666666666667,570.6166666666667,638.9,14.0,0.0012769173869552593,3.895850386470556e-05,0.008333333333333333,120
HILL_CLIMBING,pin_pattern,53.333333333333336,53.333333333333336,1381.625,4082.3333333333335,2178.0,0.010072959366758939,0.00538372900336975,1.1833333333333333,120
HILL_CLIMBING,sign_type,100.0,100.0,32.94444444444444,33.94444444444444,13.0,4.075008392747063e-05,2.056197263300419e-05,0.0,90
HILL_CLIMBING,string_category,84.0,84.0,165.21333333333334,1459.0066666666667,23.5,0.002258470815916839,4.439649637788534e-05,0.16,150
HILL_CLIMBING,transaction_pattern,100.0,100.0,61.827777777777776,62.827777777777776,9.0,0.00017235695850103142,2.9478513170033693e-05,0.0,180
HILL_CLIMBING,username_category,83.33333333333334,83.33333333333334,30.194444444444443,1375.7888888888888,26.0,0.003391490019728517,6.689556175842881e-05,0.16666666666666666,180
GA_FIXED,bmi_category,100.0,100.0,18.586666666666666,1566.9333333333334,1200.0,0.006881348943958643,0.00509570853319015,0.0,150
GA_FIXED,list_pattern,100.0,100.0,2.006666666666667,240.53333333333333,80.0,0.001005928073233564,0.00013808353105555,0.0,150
GA_FIXED,number_kind,100.0,100.0,2.811111111111111,304.8888888888889,80.0,0.0009105949248704492,5.6104501709342e-05,0.0,90
GA_FIXED,password_strength,85.83333333333333,85.83333333333333,3.525,1495.3333333333333,80.0,0.0064788412904211124,0.0001868329709395,0.14166666666666666,120
GA_FIXED,pin_pattern,100.0,100.0,30.55,2524.0,2240.0,0.014931407250696747,0.01297187496675175,0.0,120
GA_FIXED,sign_type,100.0,100.0,2.8333333333333335,306.6666666666667,80.0,0.0009040439747170306,5.2937481086701155e-05,0.0,90
GA_FIXED,string_category,83.33333333333334,83.33333333333334,1.6933333333333334,1548.8,80.0,0.005921620763838241,0.00015766650903965,0.16666666666666666,150
GA_FIXED,transaction_pattern,100.0,100.0,0.7444444444444445,139.55555555555554,80.0,0.0005007729031300322,0.00016320846043525,0.0,180
GA_FIXED,username_category,83.33333333333334,83.33333333333334,0.0,1413.3333333333333,80.0,0.006769495809243734,0.0002101249992847,0.16666666666666666,180
GA_ADAPTIVE,bmi_category,100.0,100.0,17.793333333333333,1503.4666666666667,1160.0,0.006529417202497484,0.00496520852902895,0.0,150
GA_ADAPTIVE,list_pattern,100.0,100.0,1.6066666666666667,208.53333333333333,80.0,0.0008537775223763766,0.0001387710217386,0.0,150
GA_ADAPTIVE,number_kind,100.0,100.0,2.3555555555555556,268.44444444444446,80.0,0.0007706985808908773,5.552096990868449e-05,0.0,90
GA_ADAPTIVE,password_strength,91.66666666666666,91.66666666666666,6.9,1298.6666666666667,80.0,0.005847714271900817,0.0001868125400505,0.08333333333333333,120
GA_ADAPTIVE,pin_pattern,75.0,75.0,25.133333333333333,3327.3333333333335,2680.0,0.019969740229619927,0.01540929148904975,0.30833333333333335,120
GA_ADAPTIVE,sign_type,100.0,100.0,2.111111111111111,248.88888888888889,80.0,0.0006904509047874014,5.304149817675352e-05,0.0,90
GA_ADAPTIVE,string_category,83.33333333333334,83.33333333333334,1.64,1544.5333333333333,80.0,0.006327602437231639,0.00015735451597715002,0.16666666666666666,150
GA_ADAPTIVE,transaction_pattern,100.0,100.0,0.8611111111111112,148.88888888888889,80.0,0.0005567188284152445,0.00016264605801545,0.0,180
GA_ADAPTIVE,username_category,83.33333333333334,83.33333333333334,0.0,1413.3333333333333,80.0,0.007080104150938649,0.00020935398060825,0.16666666666666666,180
