model,method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,0,True,True,[0],0.0,zero,94,95,0.00020641600713133812
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,1,True,True,[0],0.0,zero,47,48,8.291599806398153e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,2,True,True,[0],0.0,zero,34,35,6.095797289162874e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,3,True,True,[0],0.0,zero,96,97,0.00015666603576391935
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,4,True,True,[0],0.0,zero,15,16,2.575002145022154e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,5,True,True,[0],0.0,zero,116,117,0.00017516710795462132
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,6,True,True,[0],0.0,zero,53,54,7.725006435066462e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,7,True,True,[0],0.0,zero,57,58,9.9916011095047e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,8,True,True,[0],0.0,zero,96,97,0.0001575419446453452
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,9,True,True,[0],0.0,zero,96,97,0.00014829100109636784
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,10,True,True,[0],0.0,zero,161,162,0.00024208298418670893
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,11,True,True,[0],0.0,zero,88,89,0.000136125017888844
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,12,True,True,[0],0.0,zero,13,14,2.154102548956871e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,13,True,True,[0],0.0,zero,120,121,0.0001829169923439622
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,14,True,True,[0],0.0,zero,24,25,4.14170790463686e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,15,True,True,[0],0.0,zero,86,87,0.0001276669790968299
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,16,True,True,[0],0.0,zero,137,138,0.00021216599270701408
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,17,True,True,[0],0.0,zero,58,59,9.241595398634672e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,18,True,True,[0],0.0,zero,132,133,0.0001906669931486249
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,19,True,True,[0],0.0,zero,73,74,0.00010374991688877344
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,20,True,True,[0],0.0,zero,98,99,0.00014379096683114767
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,21,True,True,[0],0.0,zero,44,45,6.729201413691044e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,22,True,True,[0],0.0,zero,83,84,0.00012658291961997747
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,23,True,True,[0],0.0,zero,109,110,0.00017083296552300453
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,24,True,True,[0],0.0,zero,37,38,5.945796146988869e-05
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,25,True,True,[0],0.0,zero,151,152,0.0001974159386008978
openai_gpt_oss_20b,HILL_CLIMBING,number_kind,zero,26,True,True,[0],0.0,zero,64,65,0.00010916695464402437
