model,method,function_name,actual_success_rate,total_runs
qwen_qwen3_32b,GA_ADAPTIVE,bmi_category,80.0,150
qwen_qwen3_32b,GA_ADAPTIVE,list_pattern,100.0,150
qwen_qwen3_32b,GA_ADAPTIVE,number_kind,100.0,90
qwen_qwen3_32b,GA_ADAPTIVE,sign_type,100.0,90
qwen_qwen3_32b,GA_ADAPTIVE,string_category,90.66666666666666,150
qwen_qwen3_32b,GA_FIXED,bmi_category,80.0,150
qwen_qwen3_32b,GA_FIXED,list_pattern,98.66666666666667,150
qwen_qwen3_32b,GA_FIXED,number_kind,100.0,90
qwen_qwen3_32b,GA_FIXED,sign_type,100.0,90
qwen_qwen3_32b,GA_FIXED,string_category,92.66666666666666,150
qwen_qwen3_32b,HILL_CLIMBING,bmi_category,80.0,150
qwen_qwen3_32b,HILL_CLIMBING,list_pattern,100.0,150
qwen_qwen3_32b,HILL_CLIMBING,number_kind,100.0,90
qwen_qwen3_32b,HILL_CLIMBING,sign_type,100.0,90
qwen_qwen3_32b,HILL_CLIMBING,string_category,98.0,150
qwen_qwen3_32b,RANDOM,bmi_category,80.0,150
qwen_qwen3_32b,RANDOM,list_pattern,96.66666666666667,150
qwen_qwen3_32b,RANDOM,number_kind,81.11111111111111,90
qwen_qwen3_32b,RANDOM,sign_type,76.66666666666667,90
qwen_qwen3_32b,RANDOM,string_category,70.66666666666667,150
