method,function_name,success_rate,validation_rate,avg_generation,avg_evaluations,median_evaluations,avg_runtime,median_runtime,avg_best_fitness,total_runs
RANDOM,bmi_category,80.0,80.0,0.0,275.1066666666667,82.0,0.0001879897372176033,5.6812947150319815e-05,0.02059386213592253,150
RANDOM,list_pattern,96.66666666666667,96.66666666666667,0.0,101.16666666666667,7.0,0.00016692222872127197,1.4062505215406418e-05,0.03333333333333333,150
RANDOM,number_kind,81.11111111111111,81.11111111111111,0.0,261.76666666666665,2.0,0.00013357267533944885,2.5624758563935757e-06,0.3888888888888889,90
RANDOM,sign_type,76.66666666666667,76.66666666666667,0.0,290.74444444444447,4.5,0.0001654310436505288,4.333502147346735e-06,0.5222222222222223,90
RANDOM,string_category,80.0,80.0,0.0,207.66,6.0,0.0004979072061056762,1.5333527699112892e-05,0.2,150
HILL_CLIMBING,bmi_category,80.0,80.0,50.00666666666667,1667.5733333333333,46.0,0.0020039844000711822,7.027050014585257e-05,0.02,150
HILL_CLIMBING,list_pattern,100.0,100.0,173.78,174.78,21.5,0.00040604440572980256,5.6582968682050705e-05,0.0,150
HILL_CLIMBING,number_kind,100.0,100.0,28.0,29.0,2.0,3.3342586054151775e-05,4.4790212996304035e-06,0.0,90
HILL_CLIMBING,sign_type,100.0,100.0,33.93333333333333,34.93333333333333,15.0,4.221665052075468e-05,2.39795190282166e-05,0.0,90
HILL_CLIMBING,string_category,100.0,100.0,320.36,321.52,43.5,0.0004667055583558751,8.995801908895373e-05,0.0,150
GA_FIXED,bmi_category,80.0,80.0,0.6466666666666666,1714.6666666666667,80.0,0.007266880779061443,5.9624959249049425e-05,0.02,150
GA_FIXED,list_pattern,98.66666666666667,98.66666666666667,6.453333333333333,702.9333333333333,80.0,0.0035929324485671522,0.00013956200564275,0.013333333333333334,150
GA_FIXED,number_kind,100.0,100.0,2.811111111111111,304.8888888888889,80.0,0.0008938152963916302,5.181302549317479e-05,0.0,90
GA_FIXED,sign_type,100.0,100.0,2.8,304.0,80.0,0.0009718324588094177,5.206250352784991e-05,0.0,90
GA_FIXED,string_category,98.66666666666667,98.66666666666667,4.326666666666667,531.7333333333333,80.0,0.0020352775083543897,0.00018527096835895,0.013333333333333334,150
GA_ADAPTIVE,bmi_category,80.0,80.0,0.6733333333333333,1717.3333333333333,120.0,0.007826613062837448,0.0002324164961464618,0.02,150
GA_ADAPTIVE,list_pattern,100.0,100.0,3.8466666666666667,387.73333333333335,80.0,0.0018917825018676135,0.00013881246559315,0.0,150
GA_ADAPTIVE,number_kind,100.0,100.0,2.3555555555555556,268.44444444444446,80.0,0.0007589499763626845,5.170796066522598e-05,0.0,90
GA_ADAPTIVE,sign_type,100.0,100.0,2.4555555555555557,276.44444444444446,80.0,0.000799649547682025,5.191704258322716e-05,0.0,90
GA_ADAPTIVE,string_category,100.0,100.0,4.6,448.0,80.0,0.0017588377596499494,0.0001901044743135,0.0,150
